Cardinals vs. RB, Ari RB		0/0	0	0	0		351	1648	15		54	433	2	69		283
Broncos vs. RB, Den RB		0/0	0	0	0		349	1506	13		50	467	4	75		274
Bills vs. RB, Buf RB		0/0	0	0	0		389	1763	12		47	365	0	66		262
Panthers vs. RB, Car RB		0/1	0	0	0		346	1464	14		51	385	2	77		261
Lions vs. RB, Det RB		0/0	0	0	0		278	1275	13		61	566	4	77		260
Seahawks vs. RB, Sea RB		0/0	0	0	0		314	1336	12		59	632	2	83		247
Redskins vs. RB, Was RB		0/1	0	0	0		290	1454	10		67	562	1	92		234
Raiders vs. RB, Oak RB		0/0	0	0	0		305	1319	8		51	457	5	79		233
Buccaneers vs. RB, TB RB		0/0	0	0	0		295	1407	9		55	434	2	76		225
Colts vs. RB, Ind RB		0/0	0	0	0		303	1428	10		63	394	2	74		224
Patriots vs. RB, NE RB		0/0	0	0	0		279	1174	7		85	666	3	105		222
Eagles vs. RB, Phi RB		0/0	0	0	0		265	1067	9		46	480	5	71		214
Bengals vs. RB, Cin RB		0/0	0	0	0		287	1340	12		46	293	0	70		213
Titans vs. RB, Ten RB		0/0	0	0	0		309	1284	5		85	555	4	108		208
Texans vs. RB, Hou RB		0/0	0	0	0		261	1043	9		70	553	3	85		208
Jaguars vs. RB, Jac RB		0/0	0	0	0		270	1164	11		43	377	1	55		206
Chargers vs. RB, SD RB		0/0	0	0	0		262	1030	10		51	470	0	66		198
Saints vs. RB, NO RB		1/1	13	0	0		275	1044	10		66	520	2	88		194
Cowboys vs. RB, Dal RB		0/0	0	0	0		279	1144	9		56	352	2	74		183
Rams vs. RB, StL RB		1/2	28	0	0		247	1114	5		65	520	1	86		179
Chiefs vs. RB, KC RB		0/1	0	0	0		262	1112	5		67	531	2	89		178
Browns vs. RB, Cle RB		0/1	0	0	1		304	1258	3		59	539	1	77		174
49ers vs. RB, SF RB		0/0	0	0	0		284	991	5		69	573	1	86		170
Giants vs. RB, NYG RB		0/0	0	0	0		248	1038	6		47	377	1	64		159
Bears vs. RB, Chi RB		0/0	0	0	0		228	918	8		61	379	1	90		157
Dolphins vs. RB, Mia RB		0/0	0	0	0		272	1001	5		57	422	1	82		156
Ravens vs. RB, Bal RB		0/0	0	0	0		244	939	5		47	323	2	66		145
Vikings vs. RB, Min RB		0/0	0	0	0		259	955	5		61	379	0	81		141
Packers vs. RB, GB RB		0/0	0	0	0		248	960	4		54	438	0	78		139
Falcons vs. RB, Atl RB		1/1	2	1	0		226	918	3		55	392	1	68		135
Jets vs. RB, NYJ RB		0/1	0	0	0		251	817	6		36	274	0	61		120
Steelers vs. RB, Pit RB		0/0	0	0	0		214	648	3		61	501	1	87		108
