Cowboys vs. WR, Dal WR		0/0	0	0	0		5	53	0		178	2316	19	253		340
Seahawks vs. WR, Sea WR		0/0	0	0	0		8	56	0		152	2263	15	284		311
Falcons vs. WR, Atl WR		1/1	10	0	0		12	117	1		161	2142	15	263		305
Texans vs. WR, Hou WR		0/0	0	0	0		12	41	0		145	2158	16	241		296
Bengals vs. WR, Cin WR		1/1	39	1	0		9	97	1		145	1832	16	237		286
Patriots vs. WR, NE WR		0/0	0	0	0		9	32	1		173	2123	13	275		284
Jaguars vs. WR, Jac WR		0/0	0	0	0		5	36	0		143	2100	15	223		283
Redskins vs. WR, Was WR		0/0	0	0	0		8	37	0		171	2177	13	267		281
Vikings vs. WR, Min WR		1/1	17	0	0		13	31	1		136	1816	14	229		257
Jets vs. WR, NYJ WR		0/1	0	0	0		8	57	0		137	1919	14	269		257
Lions vs. WR, Det WR		0/0	0	0	0		15	80	0		128	1787	14	228		250
Chiefs vs. WR, KC WR		0/0	0	0	0		4	34	0		140	1984	11	282		250
49ers vs. WR, SF WR		0/1	0	0	0		7	62	0		138	1848	13	219		249
Cardinals vs. WR, Ari WR		0/0	0	0	0		9	21	0		155	2080	10	254		246
Rams vs. WR, StL WR		0/0	0	0	0		3	10	0		134	1928	12	261		245
Browns vs. WR, Cle WR		1/1	-6	0	0		16	98	0		125	1708	13	226		242
Broncos vs. WR, Den WR		0/1	0	0	0		15	129	0		124	1723	13	208		242
Bills vs. WR, Buf WR		1/1	3	1	0		16	137	1		120	1532	14	203		237
Ravens vs. WR, Bal WR		0/0	0	0	0		19	143	0		150	1851	10	265		237
Eagles vs. WR, Phi WR		0/0	0	0	0		4	15	0		131	1763	12	233		234
Dolphins vs. WR, Mia WR		0/0	0	0	0		14	107	0		115	1593	11	212		230
Buccaneers vs. WR, TB WR		1/1	9	0	0		8	46	0		121	1608	13	216		229
Giants vs. WR, NYG WR		0/0	0	0	0		4	7	0		119	1628	12	224		223
Steelers vs. WR, Pit WR		0/0	0	0	0		10	7	0		180	2041	8	287		222
Colts vs. WR, Ind WR		0/0	0	0	0		15	117	1		135	1734	8	238		220
Raiders vs. WR, Oak WR		0/0	0	0	0		5	26	0		97	1597	12	206		211
Bears vs. WR, Chi WR		0/0	0	0	0		4	2	0		145	1752	7	245		204
Titans vs. WR, Ten WR		0/1	0	0	0		6	37	0		154	1739	6	250		201
Packers vs. WR, GB WR		0/0	0	0	0		14	79	1		119	1520	7	237		194
Panthers vs. WR, Car WR		0/1	0	0	0		7	31	0		127	1429	8	216		170
Chargers vs. WR, SD WR		0/0	0	0	0		12	40	0		116	1347	6	222		161
Saints vs. WR, NO WR		0/0	0	0	0		5	62	1		108	1302	4	196		147
