ID	ORF	UniGeneHsID
1_at	A1BG	Hs.529161; Hs.709582
10_at	NAT2	Hs.2
100_at	ADA	Hs.654536
1000_at	CDH2	Hs.464829; Hs.606106
10000_at	AKT3	Hs.498292
10001_at	MED6	Hs.497353
10002_at	NR2E3	Hs.187354
10003_at	NAALAD2	Hs.503560
10004_at	NAALADL1	Hs.13967
100048912_at	CDKN2BAS	Hs.493614; Hs.512599; Hs.716162
100049716_at	LOC100049716	Hs.655804
10005_at	ACOT8	Hs.444776
10006_at	ABI1	Hs.508148
10007_at	GNPDA1	Hs.633853
10008_at	KCNE3	Hs.523899
10009_at	ZBTB33	Hs.143604
100093630_at	SNHG8	Hs.535762
1001_at	CDH3	Hs.191842
10010_at	TANK	Hs.132257
100101467_at	ZNF397OS	Hs.464896
10011_at	SRA1	Hs.653135
100113377_at	NA	NA
100113407_at	TMEM170B	Hs.146317
100124700_at	HOTAIR	Hs.197076
100125288_at	GLP-1	Hs.709296
100126784_at	LOC100126784	Hs.502116; Hs.64341
100127886_at	PRO0628	NA
100127891_at	LOC100127891	NA
100127971_at	LOC100127971	NA
100127972_at	LOC100127972	Hs.710764; Hs.716895
100127980_at	LOC100127980	Hs.595153
100127983_at	LOC100127983	NA
100128003_at	LOC100128003	Hs.107101
100128008_at	NA	NA
100128025_at	LOC100128025	Hs.715926
100128062_at	SLC2A3P1	Hs.388400
100128071_at	LOC100128071	Hs.660539
100128074_at	LOC100128074	Hs.718995
100128090_at	LOC100128090	NA
100128093_at	LOC100128093	NA
100128098_at	LOC100128098	Hs.530588
100128126_at	LOC100128126	Hs.679921
100128139_at	LOC100128139	NA
100128175_at	LOC100128175	Hs.621378
100128178_at	LOC100128178	Hs.584880
100128180_at	LOC100128180	Hs.621366; Hs.710571
100128191_at	LOC100128191	Hs.594042
100128193_at	NA	NA
100128198_at	LOC100128198	Hs.587138
100128236_at	GAFA3	Hs.543647
100128259_at	NA	NA
100128288_at	LOC100128288	Hs.549913
100128309_at	NA	NA
100128325_at	LOC100128325	Hs.105944
100128334_at	LOC100128334	NA
100128361_at	LOC100128361	Hs.660395
100128370_at	LOC100128370	NA
100128392_at	LOC100128392	Hs.607889
100128403_at	LOC100128403	Hs.719229
100128414_at	LOC100128414	Hs.710768
100128434_at	NA	NA
100128443_at	NA	NA
100128490_at	NA	NA
100128496_at	LOC100128496	Hs.664484
100128500_at	NA	NA
100128510_at	LOC100128510	Hs.718663
100128511_at	LOC100128511	NA
100128550_at	NA	NA
100128570_at	NA	NA
