ID	ORF	UniGeneHsID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label			P	P	P	NP	NP	
10000_at	AKT3	Hs.498292	113.6	117.2	63.2	88.9	99.6	
10001_at	MED6	Hs.497353	356.7	284.7	216.3	274.5	244.6	
10002_at	NR2E3	Hs.187354	16.6	18.3	17.4	17.7	24.6	
10003_at	NAALAD2	Hs.503560	413.6	609.2	614.2	351.5	344.9	
100048912_at	CDKN2BAS	Hs.493614; Hs.512599; Hs.716162	5.3	4.9	7.0	5.8	5.3	
100049716_at	LOC100049716	Hs.655804	193.6	266.6	118.8	256.1	173.6	
10004_at	NAALADL1	Hs.13967	168.5	169.3	142.1	136.1	109.0	
10005_at	ACOT8	Hs.444776	63.1	62.0	71.3	61.6	45.6	
10006_at	ABI1	Hs.508148	444.7	411.0	451.0	449.3	468.3	
10007_at	GNPDA1	Hs.633853	638.6	777.9	554.8	691.1	575.4	
10008_at	KCNE3	Hs.523899	26.6	28.4	28.3	39.3	33.6	
100093630_at	SNHG8	Hs.535762	1415.8	1140.8	1049.8	976.0	1144.2	
10009_at	ZBTB33	Hs.143604	125.0	135.6	106.5	105.5	120.8	
1000_at	CDH2	Hs.464829; Hs.606106	122.1	143.2	166.6	89.3	113.8	
100101467_at	ZNF397OS	Hs.464896	38.5	42.1	53.0	36.9	45.9	
10010_at	TANK	Hs.132257	261.2	167.4	205.2	245.8	203.9	
100113377_at	NA	NA	59.3	57.9	70.8	79.5	82.5	
100113407_at	TMEM170B	Hs.146317	424.8	451.1	524.6	923.1	820.0	
10011_at	SRA1	Hs.653135	967.4	1031.4	701.6	891.4	890.2	
100124700_at	HOTAIR	Hs.197076	148.5	152.6	156.0	157.2	139.1	
100125288_at	GLP-1	Hs.709296	62.4	60.7	92.8	68.8	75.1	
100126784_at	LOC100126784	Hs.502116; Hs.64341	17.0	17.9	19.0	16.5	19.8	
100127886_at	PRO0628	NA	4.0	4.2	3.9	4.4	4.1	
100127891_at	LOC100127891	NA	86.2	85.0	86.8	78.7	89.0	
100127971_at	LOC100127971	NA	17.5	16.8	26.4	34.5	23.0	
100127972_at	LOC100127972	Hs.710764; Hs.716895	6.8	8.3	7.5	10.0	11.2	
100127980_at	LOC100127980	Hs.595153	5.9	6.9	4.6	5.2	6.3	
100127983_at	LOC100127983	NA	68.4	84.5	85.9	67.6	91.2	
100128003_at	LOC100128003	Hs.107101	29.9	33.0	29.3	31.8	31.5	
100128008_at	NA	NA	28.3	46.0	36.5	36.2	42.9	
100128025_at	LOC100128025	Hs.715926	184.9	154.9	95.3	78.4	120.4	
100128062_at	SLC2A3P1	Hs.388400	594.0	448.0	693.8	606.3	591.8	
100128071_at	LOC100128071	Hs.660539	20.4	24.8	34.0	32.1	30.1	
100128074_at	LOC100128074	Hs.718995	44.8	42.9	42.5	48.5	43.8	
100128090_at	LOC100128090	NA	8.0	10.0	9.7	9.7	10.2	
100128093_at	LOC100128093	NA	7.0	9.7	15.7	9.9	8.6	
100128098_at	LOC100128098	Hs.530588	215.7	175.0	154.8	194.0	143.1	
100128126_at	LOC100128126	Hs.679921	4.3	4.5	4.3	4.6	4.2	
100128139_at	LOC100128139	NA	3.7	4.6	4.6	4.0	4.0	
100128175_at	LOC100128175	Hs.621378	4.6	4.5	4.6	5.8	4.6	
100128178_at	LOC100128178	Hs.584880	108.2	110.5	109.7	116.0	113.5	
100128180_at	LOC100128180	Hs.621366; Hs.710571	4.3	5.8	11.0	7.9	5.7	
100128191_at	LOC100128191	Hs.594042	22.7	36.6	26.0	36.5	26.2	
100128193_at	NA	NA	18.9	21.6	20.2	25.6	29.8	
100128198_at	LOC100128198	Hs.587138	11.1	10.0	12.8	18.9	11.4	
100128236_at	GAFA3	Hs.543647	4.7	4.4	3.5	4.6	4.9	
100128259_at	NA	NA	181.5	236.9	254.0	167.1	115.0	
100128288_at	LOC100128288	Hs.549913	356.7	595.9	1335.3	1072.7	1358.9	
100128309_at	NA	NA	295.3	555.6	714.8	454.6	467.7	
100128325_at	LOC100128325	Hs.105944	35.3	50.0	40.7	33.5	27.0	
100128334_at	LOC100128334	NA	47.4	52.7	46.1	53.5	52.8	
100128361_at	LOC100128361	Hs.660395	31.3	44.3	38.5	32.5	36.9	
100128370_at	LOC100128370	NA	30.7	45.0	24.9	23.9	18.6	
100128392_at	LOC100128392	Hs.607889	21.7	21.2	27.5	19.2	21.3	
100128403_at	LOC100128403	Hs.719229	15.0	16.0	16.8	6.3	14.4	
100128414_at	LOC100128414	Hs.710768	27.3	21.6	26.5	19.2	18.5	
100128434_at	NA	NA	15.6	17.3	35.9	16.6	18.4	
100128443_at	NA	NA	216.2	95.9	172.7	203.5	244.1	
100128490_at	NA	NA	151.3	102.7	183.3	261.8	337.2	
100128496_at	LOC100128496	Hs.664484	10.6	8.9	8.7	10.3	8.8	
100128500_at	NA	NA	89.0	90.8	52.2	67.7	206.3	
100128510_at	LOC100128510	Hs.718663	336.4	386.3	414.1	299.4	310.0	
100128511_at	LOC100128511	NA	51.7	49.3	56.4	18.9	34.5	
100128550_at	NA	NA	1802.0	1996.1	1700.8	1864.7	1985.6	
100128570_at	NA	NA	22.4	27.2	61.8	53.3	40.0	
100128576_at	NA	NA	776.9	1032.4	1061.1	842.3	865.3	
100128590_at	LOC100128590	Hs.656261	7.7	13.8	15.4	21.5	23.3	
100128641_at	NA	NA	29.3	16.9	28.0	8.7	17.3	
100128661_at	NA	NA	158.4	171.5	123.3	134.0	152.8	
100128663_at	NA	NA	10.6	14.2	7.3	12.5	9.0	
100128731_at	LOC100128731	Hs.502948	1849.9	2035.0	1442.5	1706.3	1799.1	
100128737_at	LOC100128737	NA	57.1	71.2	62.8	34.7	45.5	
100128751_at	LOC100128751	Hs.655565	22.0	33.2	29.4	23.8	25.8	
100128782_at	C9orf130	Hs.494549; Hs.652504	103.8	66.4	59.2	33.6	66.9	
100128821_at	NA	NA	12.1	16.3	22.2	17.6	25.3	
100128822_at	LOC100128822	Hs.647112	451.1	357.5	823.7	510.3	609.4	
100128830_at	LOC100128830	Hs.638406	6.4	6.4	6.8	6.2	4.0	
100128843_at	LOC100128843	NA	10.0	10.5	10.8	9.9	10.4	
100128881_at	LOC100128881	Hs.666282	31.6	42.9	49.5	43.7	43.7	
100128907_at	NA	NA	22.7	23.4	24.2	21.9	26.1	
100128909_at	LOC100128909	Hs.535950	12.3	15.6	13.9	10.4	8.6	
100128918_at	NA	NA	105.6	45.2	51.5	95.6	52.1	
100128919_at	NA	NA	60.6	192.5	202.5	159.7	351.9	
100128922_at	LOC100128922	Hs.679767	29.4	12.3	42.7	13.8	8.0	
100128927_at	ZBTB42	Hs.170853	120.6	107.4	137.2	124.2	132.6	
100128977_at	LOC100128977	Hs.666302	6.3	6.1	6.7	5.8	5.8	
100128988_at	LOC100128988	Hs.204945	8.2	6.0	6.5	6.2	8.6	
100128998_at	C20orf181	Hs.555583	32.5	33.6	35.4	36.7	32.7	
100129006_at	NA	NA	25.4	37.6	53.9	39.5	45.5	
100129014_at	NA	NA	56.0	41.0	49.8	132.9	53.5	
100129015_at	NA	NA	844.4	868.9	1083.4	981.8	1027.2	
100129022_at	NA	NA	124.5	125.1	219.7	105.8	111.0	
100129034_at	LOC100129034	Hs.654980	59.1	66.7	67.5	52.9	58.8	
100129041_at	NA	NA	31.7	37.8	48.8	36.6	38.8	
