ID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label	P	P	P	NP	NP	
10000_at	113.6	117.2	63.2	88.9	99.6	
10001_at	356.7	284.7	216.3	274.5	244.6	
10002_at	16.6	18.3	17.4	17.7	24.6	
10003_at	413.6	609.2	614.2	351.5	344.9	
100048912_at	5.3	4.9	7.0	5.8	5.3	
100049716_at	193.6	266.6	118.8	256.1	173.6	
10004_at	168.5	169.3	142.1	136.1	109.0	
10005_at	63.1	62.0	71.3	61.6	45.6	
10006_at	444.7	411.0	451.0	449.3	468.3	
10007_at	638.6	777.9	554.8	691.1	575.4	
10008_at	26.6	28.4	28.3	39.3	33.6	
100093630_at	1415.8	1140.8	1049.8	976.0	1144.2	
10009_at	125.0	135.6	106.5	105.5	120.8	
1000_at	122.1	143.2	166.6	89.3	113.8	
100101467_at	38.5	42.1	53.0	36.9	45.9	
10010_at	261.2	167.4	205.2	245.8	203.9	
100113377_at	59.3	57.9	70.8	79.5	82.5	
100113407_at	424.8	451.1	524.6	923.1	820.0	
10011_at	967.4	1031.4	701.6	891.4	890.2	
100124700_at	148.5	152.6	156.0	157.2	139.1	
100125288_at	62.4	60.7	92.8	68.8	75.1	
100126784_at	17.0	17.9	19.0	16.5	19.8	
100127886_at	4.0	4.2	3.9	4.4	4.1	
100127891_at	86.2	85.0	86.8	78.7	89.0	
100127971_at	17.5	16.8	26.4	34.5	23.0	
100127972_at	6.8	8.3	7.5	10.0	11.2	
100127980_at	5.9	6.9	4.6	5.2	6.3	
100127983_at	68.4	84.5	85.9	67.6	91.2	
100128003_at	29.9	33.0	29.3	31.8	31.5	
100128008_at	28.3	46.0	36.5	36.2	42.9	
100128025_at	184.9	154.9	95.3	78.4	120.4	
100128062_at	594.0	448.0	693.8	606.3	591.8	
100128071_at	20.4	24.8	34.0	32.1	30.1	
100128074_at	44.8	42.9	42.5	48.5	43.8	
100128090_at	8.0	10.0	9.7	9.7	10.2	
100128093_at	7.0	9.7	15.7	9.9	8.6	
100128098_at	215.7	175.0	154.8	194.0	143.1	
100128126_at	4.3	4.5	4.3	4.6	4.2	
100128139_at	3.7	4.6	4.6	4.0	4.0	
100128175_at	4.6	4.5	4.6	5.8	4.6	
100128178_at	108.2	110.5	109.7	116.0	113.5	
100128180_at	4.3	5.8	11.0	7.9	5.7	
100128191_at	22.7	36.6	26.0	36.5	26.2	
100128193_at	18.9	21.6	20.2	25.6	29.8	
100128198_at	11.1	10.0	12.8	18.9	11.4	
100128236_at	4.7	4.4	3.5	4.6	4.9	
100128259_at	181.5	236.9	254.0	167.1	115.0	
100128288_at	356.7	595.9	1335.3	1072.7	1358.9	
100128309_at	295.3	555.6	714.8	454.6	467.7	
100128325_at	35.3	50.0	40.7	33.5	27.0	
100128334_at	47.4	52.7	46.1	53.5	52.8	
100128361_at	31.3	44.3	38.5	32.5	36.9	
100128370_at	30.7	45.0	24.9	23.9	18.6	
100128392_at	21.7	21.2	27.5	19.2	21.3	
100128403_at	15.0	16.0	16.8	6.3	14.4	
100128414_at	27.3	21.6	26.5	19.2	18.5	
100128434_at	15.6	17.3	35.9	16.6	18.4	
100128443_at	216.2	95.9	172.7	203.5	244.1	
100128490_at	151.3	102.7	183.3	261.8	337.2	
100128496_at	10.6	8.9	8.7	10.3	8.8	
100128500_at	89.0	90.8	52.2	67.7	206.3	
100128510_at	336.4	386.3	414.1	299.4	310.0	
100128511_at	51.7	49.3	56.4	18.9	34.5	
100128550_at	1802.0	1996.1	1700.8	1864.7	1985.6	
100128570_at	22.4	27.2	61.8	53.3	40.0	
100128576_at	776.9	1032.4	1061.1	842.3	865.3	
100128590_at	7.7	13.8	15.4	21.5	23.3	
100128641_at	29.3	16.9	28.0	8.7	17.3	
100128661_at	158.4	171.5	123.3	134.0	152.8	
100128663_at	10.6	14.2	7.3	12.5	9.0	
100128731_at	1849.9	2035.0	1442.5	1706.3	1799.1	
100128737_at	57.1	71.2	62.8	34.7	45.5	
100128751_at	22.0	33.2	29.4	23.8	25.8	
100128782_at	103.8	66.4	59.2	33.6	66.9	
100128821_at	12.1	16.3	22.2	17.6	25.3	
100128822_at	451.1	357.5	823.7	510.3	609.4	
100128830_at	6.4	6.4	6.8	6.2	4.0	
100128843_at	10.0	10.5	10.8	9.9	10.4	
100128881_at	31.6	42.9	49.5	43.7	43.7	
100128907_at	22.7	23.4	24.2	21.9	26.1	
100128909_at	12.3	15.6	13.9	10.4	8.6	
100128918_at	105.6	45.2	51.5	95.6	52.1	
100128919_at	60.6	192.5	202.5	159.7	351.9	
100128922_at	29.4	12.3	42.7	13.8	8.0	
100128927_at	120.6	107.4	137.2	124.2	132.6	
100128977_at	6.3	6.1	6.7	5.8	5.8	
100128988_at	8.2	6.0	6.5	6.2	8.6	
100128998_at	32.5	33.6	35.4	36.7	32.7	
100129006_at	25.4	37.6	53.9	39.5	45.5	
100129014_at	56.0	41.0	49.8	132.9	53.5	
100129015_at	844.4	868.9	1083.4	981.8	1027.2	
100129022_at	124.5	125.1	219.7	105.8	111.0	
100129034_at	59.1	66.7	67.5	52.9	58.8	
100129041_at	31.7	37.8	48.8	36.6	38.8	
100129087_at	17.6	17.1	20.1	22.6	23.9	
100129098_at	21.9	21.1	12.1	18.3	18.2	
100129104_at	13.3	20.2	19.3	22.7	14.9	
100129105_at	182.6	212.2	127.0	181.3	209.9	
100129122_at	106.6	166.9	138.4	119.5	135.4	
100129128_at	11.0	13.8	21.3	23.6	34.9	
100129129_at	5.6	5.9	8.2	6.2	6.2	
100129175_at	12.1	12.3	13.1	14.5	15.5	
100129194_at	15.5	19.3	17.4	15.1	15.8	
100129195_at	62.5	64.1	91.9	68.1	61.4	
100129250_at	390.5	405.4	341.6	310.8	324.1	
100129268_at	45.2	56.8	62.2	53.6	57.7	
100129271_at	30.0	31.0	29.1	22.5	28.2	
100129289_at	13.8	19.8	32.7	8.7	11.2	
100129335_at	8.0	12.6	10.3	11.9	9.9	
100129346_at	276.2	364.0	528.9	279.4	398.0	
100129361_at	1671.9	2061.7	1086.6	1462.0	1506.0	
100129387_at	236.4	241.4	176.1	163.5	141.2	
100129410_at	13.2	10.1	9.3	12.5	8.7	
100129441_at	33.0	34.8	47.1	18.1	28.4	
100129476_at	13.0	13.7	14.3	16.9	15.7	
100129482_at	372.2	478.5	745.3	534.6	684.3	
100129500_at	49.9	20.0	26.1	134.9	82.4	
100129502_at	1386.5	1072.9	1147.7	1416.3	1379.8	
100129503_at	17.0	11.3	16.1	16.4	9.6	
100129516_at	11.9	16.8	11.0	11.9	12.5	
100129546_at	10.8	11.4	8.1	14.3	9.1	
100129562_at	16.8	24.7	17.6	16.3	18.8	
100129563_at	392.0	388.1	480.7	507.7	506.5	
100129592_at	23.2	22.0	28.8	27.9	29.1	
100129597_at	6.4	8.1	10.0	9.6	8.6	
100129602_at	8.4	9.5	23.0	9.2	8.4	
100129617_at	11.8	9.7	12.2	7.4	7.9	
100129624_at	266.3	270.7	212.3	238.5	279.1	
100129637_at	63.6	71.1	100.2	94.7	83.8	
100129656_at	14.6	11.6	18.1	20.7	18.0	
100129662_at	6.8	6.6	9.0	20.5	12.9	
100129665_at	4.3	6.4	15.4	7.3	10.2	
100129668_at	1141.0	1259.9	1259.5	1058.4	1218.1	
100129673_at	204.3	215.8	202.4	226.4	258.0	
100129686_at	13.2	24.3	11.6	8.0	19.2	
100129716_at	28.2	14.5	33.6	15.3	17.2	
100129726_at	8.0	14.1	15.4	10.3	13.5	
100129762_at	124.2	106.6	69.3	86.9	104.6	
100129792_at	48.5	47.2	43.2	28.5	40.2	
100129794_at	284.3	312.7	447.1	234.3	268.6	
100129827_at	17.6	15.2	11.4	15.1	14.9	
100129828_at	5.3	7.3	7.0	6.4	6.6	
100129837_at	84.7	68.7	49.0	107.2	81.3	
